S2A/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
1.607	0.987806954	B11	12
1.608	0.990375969	B11	12
1.609	0.992015684	B11	12
1.61	0.993287985	B11	12
1.611	0.992536418	B11	12
1.612	0.990404949	B11	12
1.613	0.987128016	B11	12
1.614	0.983502057	B11	12
1.615	0.980022548	B11	12
1.616	0.976174463	B11	12
1.617	0.972568388	B11	12
1.618	0.969828489	B11	12
1.619	0.967709002	B11	12
1.62	0.966371474	B11	12
1.621	0.965848924	B11	12
1.622	0.966050474	B11	12
1.623	0.967426617	B11	12
1.624	0.969869577	B11	12
1.625	0.973463419	B11	12
1.626	0.97868284	B11	12
1.627	0.983472137	B11	12
1.628	0.987635453	B11	12
1.629	0.991875079	B11	12
1.63	0.995476405	B11	12
1.631	0.997586172	B11	12
1.632	0.998568438	B11	12
1.633	0.999327749	B11	12
1.634	0.999234469	B11	12
1.635	0.998803511	B11	12
1.636	0.999110558	B11	12
1.637	0.999729529	B11	12
1.638	0.999744808	B11	12
1.639	1	B11	12
1.64	0.999814319	B11	12
1.641	0.996693294	B11	12
1.642	0.991619643	B11	12
1.643	0.985701748	B11	12
1.644	0.978569228	B11	12
1.645	0.969902949	B11	12
1.646	0.960896391	B11	12
1.647	0.953286699	B11	12
1.648	0.946546283	B11	12
1.649	0.941712152	B11	12
1.65	0.938586421	B11	12
1.651	0.935489328	B11	12
1.652	0.928113913	B11	12
1.653	0.912102443	B11	12
1.654	0.88059783	B11	12
1.655	0.824980062	B11	12
1.656	0.743118017	B11	12
1.657	0.64189077	B11	12
1.658	0.534002282	B11	12
1.659	0.426963072	B11	12
1.66	0.323709698	B11	12
1.661	0.234284076	B11	12
1.662	0.163971597	B11	12
1.663	0.110210711	B11	12
1.664	0.072477896	B11	12
1.665	0.04619413	B11	12
1.666	0.029400532	B11	12
1.667	0.019358665	B11	12
1.668	0.013308246	B11	12
1.669	0.009316851	B11	12
1.67	0.006522833	B11	12
1.671	0.004864189	B11	12
1.672	0.003409053	B11	12
1.673	0.002490561	B11	12
1.674	0.001958315	B11	12
1.675	0.001422504	B11	12
1.676	0.001055276	B11	12
1.677	0.000497731	B11	12
1.678	0.000227763	B11	12
1.679	0.00015918	B11	12
1.68	0.000033942	B11	12
1.681	0.000044875	B11	12
1.682	0.000013044	B11	12
2.078	0.000639264	B12	13
2.079	0.001022905	B12	13
2.08	0.002884721	B12	13
2.081	0.003997454	B12	13
2.082	0.006597118	B12	13
2.083	0.007659826	B12	13
2.084	0.00800413	B12	13
2.085	0.008539692	B12	13
2.086	0.009300309	B12	13
2.087	0.010001938	B12	13
2.088	0.010972178	B12	13
2.089	0.012089456	B12	13
2.09	0.013364144	B12	13
2.091	0.015017309	B12	13
2.092	0.01712566	B12	13
2.093	0.01978032	B12	13
2.094	0.023335884	B12	13
2.095	0.027667597	B12	13
2.096	0.033215941	B12	13
2.097	0.040217377	B12	13
2.098	0.048882662	B12	13
2.099	0.059642173	B12	13
2.1	0.073175151	B12	13
2.101	0.090534716	B12	13
2.102	0.111470124	B12	13
2.103	0.13690299	B12	13
2.104	0.167810536	B12	13
2.105	0.203460906	B12	13
2.106	0.242871255	B12	13
2.107	0.284898317	B12	13
2.108	0.327177957	B12	13
2.109	0.36840376	B12	13
2.11	0.40800276	B12	13
2.111	0.444778149	B12	13
2.112	0.476537405	B12	13
2.113	0.503106894	B12	13
2.114	0.525317548	B12	13
2.115	0.543351996	B12	13
2.116	0.557252862	B12	13
2.117	0.568634197	B12	13
2.118	0.579029932	B12	13
2.119	0.588683995	B12	13
2.12	0.59889121	B12	13
2.121	0.609981083	B12	13
2.122	0.621362162	B12	13
2.123	0.634282516	B12	13
2.124	0.64854644	B12	13
2.125	0.663707315	B12	13
2.126	0.680046291	B12	13
2.127	0.696164765	B12	13
2.128	0.711964139	B12	13
2.129	0.727011081	B12	13
2.13	0.741301118	B12	13
2.131	0.757405387	B12	13
2.132	0.772070514	B12	13
2.133	0.78558074	B12	13
2.134	0.798238093	B12	13
2.135	0.809677071	B12	13
2.136	0.819701739	B12	13
2.137	0.82859933	B12	13
2.138	0.836721896	B12	13
2.139	0.844443431	B12	13
2.14	0.851107219	B12	13
2.141	0.853252319	B12	13
2.142	0.854746271	B12	13
2.143	0.85617419	B12	13
2.144	0.857820928	B12	13
2.145	0.859531818	B12	13
2.146	0.861459829	B12	13
2.147	0.863256985	B12	13
2.148	0.865138808	B12	13
2.149	0.867319035	B12	13
2.15	0.869696339	B12	13
2.151	0.874301992	B12	13
2.152	0.878588437	B12	13
2.153	0.882438825	B12	13
2.154	0.885928758	B12	13
2.155	0.889473121	B12	13
2.156	0.89322574	B12	13
2.157	0.896696495	B12	13
2.158	0.899896619	B12	13
2.159	0.902596288	B12	13
2.16	0.90483074	B12	13
2.161	0.905524618	B12	13
2.162	0.905665281	B12	13
2.163	0.905502587	B12	13
2.164	0.905157893	B12	13
2.165	0.904782854	B12	13
2.166	0.90408183	B12	13
2.167	0.903347495	B12	13
2.168	0.902760831	B12	13
2.169	0.902377006	B12	13
2.17	0.901982966	B12	13
2.171	0.903423562	B12	13
2.172	0.904312941	B12	13
2.173	0.905315323	B12	13
2.174	0.906446178	B12	13
2.175	0.90809207	B12	13
2.176	0.910123185	B12	13
2.177	0.912949979	B12	13
2.178	0.915584774	B12	13
2.179	0.918444254	B12	13
2.18	0.921302412	B12	13
2.181	0.924337167	B12	13
2.182	0.927218563	B12	13
2.183	0.929740263	B12	13
2.184	0.931921865	B12	13
2.185	0.934142166	B12	13
2.186	0.935906112	B12	13
2.187	0.937086137	B12	13
2.188	0.937641167	B12	13
2.189	0.938301157	B12	13
2.19	0.937652085	B12	13
2.191	0.940440758	B12	13
2.192	0.942517533	B12	13
2.193	0.943259037	B12	13
2.194	0.943031026	B12	13
2.195	0.942117106	B12	13
2.196	0.940631648	B12	13
2.197	0.938427922	B12	13
2.198	0.936660033	B12	13
2.199	0.935256327	B12	13
2.2	0.933022239	B12	13
2.201	0.926879998	B12	13
2.202	0.921056996	B12	13
2.203	0.915482617	B12	13
2.204	0.911020114	B12	13
2.205	0.908292872	B12	13
2.206	0.907283492	B12	13
2.207	0.90819092	B12	13
2.208	0.911168883	B12	13
2.209	0.916188526	B12	13
2.21	0.922854635	B12	13
2.211	0.920605167	B12	13
2.212	0.919482312	B12	13
2.213	0.919489205	B12	13
2.214	0.921276392	B12	13
2.215	0.924526038	B12	13
2.216	0.927732919	B12	13
2.217	0.931974489	B12	13
2.218	0.936769555	B12	13
2.219	0.941482728	B12	13
2.22	0.946801994	B12	13
2.221	0.951202607	B12	13
2.222	0.954436663	B12	13
2.223	0.957046915	B12	13
2.224	0.959729173	B12	13
2.225	0.962538601	B12	13
2.226	0.964857726	B12	13
2.227	0.966042031	B12	13
2.228	0.966647037	B12	13
2.229	0.966309991	B12	13
2.23	0.965460063	B12	13
2.231	0.964841278	B12	13
2.232	0.963655749	B12	13
2.233	0.961698492	B12	13
2.234	0.959453949	B12	13
2.235	0.957327053	B12	13
2.236	0.955140475	B12	13
2.237	0.953558145	B12	13
2.238	0.95273179	B12	13
2.239	0.952180853	B12	13
2.24	0.951730689	B12	13
2.241	0.952145994	B12	13
2.242	0.952641408	B12	13
2.243	0.954056643	B12	13
